رقم القطعة,الاسم بالعربي,الاسم بالإنجليزي,مجموعة EPC,الماركة,الجودة,المخزون الفعلي,سعر التكلفة EGP,سعر البيع EGP,الحد الأدنى
A2060100,مقص امامي المونيوم,Front Upper Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,4,0,0,1
A2060300,مقص امامي المونيوم,Front Left Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,2,0,0,1
A2063331000,مقص امامي المونيوم يمين,Front Right Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,1,0,0,1
A2063331100,مقص امامي المونيوم شمال,Front Left Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,2,0,0,1
A2063331200,مقص المونيوم يمين,Front Right Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,2,0,0,1
A2063900,مقص امامي المونيوم شمال,Front Left Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,4,0,0,1
A2064211200,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,1,0,0,1
A2064211400,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,1,0,0,1
A2064230000,طنابير خلفي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,GENUINE_OEM,1,0,0,1
A2064230900,طنابير خلفي,brake disc,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,1,0,0,1
A2069006219,كنترول باب خلفي شمال,Left Rear Door Control Unit,54 ELECTRICAL & SENSORS,Mercedes-Benz Genuine Parts,GENUINE_OEM,4,0,0,1
A2114210712,قرص فرامل أمامي,Front Brake Disc,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,5,0,0,1
A2114211012,طنابير أمامي,Brake Discs,42 BRAKES & HYDRAULICS,GSP,AFTERMARKET,2,0,0,1
A2114230712,طنابير خلفي,Rear brake,42 BRAKES & HYDRAULICS,TRAUCKTEK,AFTERMARKET,3,0,0,1
A2140400,مقص امامي المونيوم يمين,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,2,0,0,1
A2143330700,مقص امامي المونيوم شمال,Front Left Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,3,0,0,1
A2143330800,مقص امامي المونيوم يمين,Front Right Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,5,0,0,1
A2143330900,مقص امامي المونيوم شمال,Front Left Control Arm,01 ENGINE & TIMING,Mercedes-Benz Genuine Parts,GENUINE_OEM,1,0,0,1
A2214230412,طنابير خلفي,REAR BRAKE DISK,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,AFTERMARKET,1,0,0,1
A2214230712,قرص فرامل خلفي,Rear Brake,42 BRAKES & HYDRAULICS,ROCK BREG,AFTERMARKET,1,0,0,1
A22242115100,طنابير أمامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,4,0,0,1
A2224231500,طنابير خلفي,RARE BRAKE DISK,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,ORIGINAL,1,0,0,1
A2233335900,مقص المونيوم شمال,Front Left Tension Strut,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,8,0,0,1
A2233336000,مقص امامي المونيوم يمين,Front Right Tension Strut,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,13,0,0,1
A2235400,مقص امامي المونيوم يمين,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,7,0,0,1
A2235500,مقص المونيوم شمال,: Front Left Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,3,0,0,1
A2464210012,طنابير فرامل أمامية,Front Brake,42 BRAKES & HYDRAULICS,BREMBO,GENUINE_OEM,6,0,0,1
A2464210112,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,GSP,AFTERMARKET,5,0,0,1
A2464212512,طنابير امامي,brake disc,42 BRAKES & HYDRAULICS,AYD,AFTERMARKET,1,0,0,1
A2464230012,طنابير فرامل خلفية,Rear Brake,42 BRAKES & HYDRAULICS,TRUCKTEK,AFTERMARKET,2,0,0,1
A2464230112,طنابير خلفي,REAR BRAKE DISK,42 BRAKES & HYDRAULICS,PSB,AFTERMARKET,2,0,0,1
A2474210312,طنابير امامي,FRONT BRAKE DISK,42 BRAKES & HYDRAULICS,AYD,AFTERMARKET,1,0,0,1
A2474210412,طنابير امامي,FRONT BRAKE DISK,42 BRAKES & HYDRAULICS,AYD,AFTERMARKET,5,0,0,1
A2474230112,طنابير خلفي,REAR BRAKE DISC,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,ORIGINAL,2,0,0,1
A2530100,مقص أمامي المونيوم L,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,46,0,0,1
A2530200,مقص أمامي المونيوم R,Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,51,0,0,1
A2540100,مقص أمامي حديد,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,16,0,0,1
A2543330300,مقص أمامي المونيوم شمال,Front Lower Left Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,3,0,0,1
A2543330400,مقص أمامي المونيوم يمين,Front Lower Right Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,7,0,0,1
A2649060404,مرش,Starter MotoR,01 ENGINE & TIMING,Mercedes-Benz Genuine Parts,GENUINE_OEM,1,0,0,1
A2970300,مقص حديد خلفي شمال,Rear Lower Suspension Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,1,0,0,1
A2970400,مقص تعليق  حديد خلفي يمين,Rear Right Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,1,0,0,1
A2973330700,مقص أمامي المونيوم L,Front Left Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,9,0,0,1
A2973330800,مقص امامي المونيوم R,Front Left Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,7,0,0,1
A4474210012,طنابير امامي,BRAKE DISK FRONT,42 BRAKES & HYDRAULICS,AYD,AFTERMARKET,2,0,0,1
9054100,حساس جنط,,,Mercedes-Benz Genuine Parts,GENUINE_OEM,9,0,0,1
  A1728302615,خرطوم تكييف,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
 2014 GLA,وش فانوس,,,Mercedes-Benz Genuine Parts,ORGINAL USED,6,0,0,1
 2124211312-  204,طنبورة امامي,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
 274 /  1986-A01045,دينامو بوش,,,Mercedes-Benz Genuine Parts,ORGINAL USED,10,0,0,1
 A0034206520,طقم تيل امامي 211,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
 A1698850122,فبر,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
 A2048850223,فبر,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
 A2053306510,مقص يمين 205,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
 A2058851165,شاسيه,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
 A2114703994,طلمبه بنزين 211,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
 A2138854301,شاسيه,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
 A2219002103,كنترول مساج,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
 A2468850222,فبر,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
 A2468850422,فبر,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
 A2710500800,ترس كامه 271 يمين تيواني,,,Mercedes-Benz Genuine Parts,ORGINAL USED,10,0,0,1
 A315269,مساعد خلفي 176 B246 CLA 117,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
 A317 267,مساعد خلفي W212,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
 A317385,مساعد خلفي GLK,,,Mercedes-Benz Genuine Parts,ORGINAL USED,0,0,0,1
 ML 163,اسكترا,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
2021619,بكرة سير مشرشرة,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
2021619,بكرة سير مشرشرة,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
2021719,بكرة ناعمة274/271,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
2021719,بكرة ناعمة 274 - 271,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
4203105,تيل جديد اصلي,,,Mercedes-Benz Genuine Parts,ORGINAL USED,3,0,0,1
4211112,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4211112,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4212112,طنابير امامي 205 AMG,,,Mercedes-Benz Genuine Parts,ORGINAL USED,3,0,0,1
4212112,طنبورة امامي205  GSP,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
4212212,طنابير امامي 213,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
4212312,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4212412,طنبورة امامي205  GSP,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
4212812,طنابير امامي 213,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
4218800,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4218812,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4230512,طنابير خلفي 205,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
4230512,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,3,0,0,1
4230712,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
4231812,طنابير خلفي 213,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
4231812,طنابير مستعمل,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
5421312,حساس شكمان,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
5425212,حساس شكمان,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
8300302,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
8302600,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
8302700,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
8306300,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
8306811,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9050217,حساس خناط,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9051704,كنترول رادار,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9052507,حساس ردار  02,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9054100,حساس جنط,,,Mercedes-Benz Genuine Parts,ORGINAL USED,3,0,0,1
9054104,حساس جنط,,,Mercedes-Benz Genuine Parts,ORGINAL USED,12,0,0,1
9057200,حساس جنط,,,Mercedes-Benz Genuine Parts,ORGINAL USED,7,0,0,1
9058011,حساس شكمان بالكنترول,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9058315,حساس شكمان,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9059604,حساس شكمان,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9059704,حساس شكمان,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9061903,دينامو 270/150A,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9062103,دينامو استراد A150/274,,,Mercedes-Benz Genuine Parts,ORGINAL USED,19,0,0,1
9063000,دينامو استراد 271 CGI,,,Mercedes-Benz Genuine Parts,ORGINAL USED,6,0,0,1
9063922,دينامو استراد A180-276 فيشه مكسوره,,,Mercedes-Benz Genuine Parts,ORGINAL USED,14,0,0,1
34206520,MDB طقم تيل امامي211,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
38304400,كباس ATC,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
54403710,عقل فتيس,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
131545602,دينامو استراد A180/272 فيشه مكسوره,,,Mercedes-Benz Genuine Parts,ORGINAL USED,18,0,0,1
141541002,دينامو استراد A220/278 فيشه مكسوره,,,Mercedes-Benz Genuine Parts,ORGINAL USED,6,0,0,1
141541302,دينامو استراد A220/272 فيشه مكسوره,,,Mercedes-Benz Genuine Parts,ORGINAL USED,14,0,0,1
806035,ج/5233 ت/8/8/2024 ق/84795 شركه اورجينال,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
0919059301 - 254,ساعة كرتير زيت,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
9395,ج/5233 ت/8/8/2024 ق/84795 شركه اورجينال,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995000454,ATC سربنتينة,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
995001100,كولرزيت,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995001401,سربنتينة كولر امام ردياتير 253/213/264,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
995001401,سربنتينة جديدة,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995001803,ريدياتير 118/157/177/247,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
995002003,سربنتينة كولر امام ردياتير205/213,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
995003801,سربنتينة كولر امام ردياتير 206/214,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
995004201,سربنتينة كولر امام ردياتير 205,,,Mercedes-Benz Genuine Parts,ORGINAL USED,5,0,0,1
995006300,كولر,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995009100,سربنتينة كولر امام ردياتير 223/256,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995009500,سربنتينة كولر امام ردياتير 223,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
995045200,حامل ريداتير,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
105527,ج/5233 ت/8/8/2024 ق/84795 شركه اورجينال,,,Mercedes-Benz Genuine Parts,ORGINAL USED,1,0,0,1
105910,مساعد امامي 211,,,Mercedes-Benz Genuine Parts,ORGINAL USED,4,0,0,1
105927,مساعد خلفي 211,,,Mercedes-Benz Genuine Parts,ORGINAL USED,3,0,0,1
1084402,قاعدة موتور,,,Mercedes-Benz Genuine Parts,ORGINAL USED,30,0,0,1
109462,مساعد امامي 221,,,Mercedes-Benz Genuine Parts,ORGINAL USED,2,0,0,1
1097001,طقم جلب مقص,,,Mercedes-Benz Genuine Parts,ORGINAL USED,6,0,0,1
1134602,قاعدة موتور 210,,,Mercedes-Benz Genuine Parts,ORGINAL USED,25,0,0,1
